"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"07e478d5-cd21-46a5-9aa2-5c758236f40a","Dyonisius Periegetes.txt","Thrinacia","char-offset:20728","PLACE","http://pleiades.stoa.org/places/462492","Sicilia (island)","-0750/2100","37.53667611952188","14.08648464579389","island","VERIFIED","","","",""
"699f1b95-00a5-4f56-b6f0-8111d53eb3cc","Dyonisius Periegetes.txt","Pachynos","char-offset:20815","PLACE","http://pleiades.stoa.org/places/462404","Pachynos (river)","0300/0640","36.75","15.25","river","VERIFIED","","","",""
"68417b76-3a16-4617-9957-195afe9e9b9a","Dyonisius Periegetes.txt","Lilybe","char-offset:20825","PLACE","http://pleiades.stoa.org/places/462281","Lilybaeum|Lilybaeum, Capo Boeo, Marsala","-0750/2100","37.7990835","12.434233","settlement","VERIFIED","","","",""
"b3d6917c-b756-4f3d-a9bd-2a1618faae3e","Dyonisius Periegetes.txt","Peloris","char-offset:20833","PLACE","http://pleiades.stoa.org/places/462416","Pelorus/Regium Pr.|Pelorus/Regium Pr., Capo Peloro","-0750/0640","38.26816","15.6507","cape","VERIFIED","","","",""
"25422a8b-f424-4a79-bf1a-dcbc9c0a77f6","Dyonisius Periegetes.txt","Lilybe","char-offset:20852","PLACE","http://pleiades.stoa.org/places/462281","Lilybaeum|Lilybaeum, Capo Boeo, Marsala","-0750/2100","37.7990835","12.434233","settlement","VERIFIED","","","",""
"4fb98fca-35c1-4567-81dd-925f1b0a5a6e","Dyonisius Periegetes.txt","Pachynos","char-offset:20895","PLACE","http://pleiades.stoa.org/places/462404","Pachynos (river)","0300/0640","36.75","15.25","river","VERIFIED","","","",""
"d202142d-0837-4a68-bf82-4ed9658cd0eb","Dyonisius Periegetes.txt","Peloris","char-offset:20936","PLACE","http://pleiades.stoa.org/places/462416","Pelorus/Regium Pr.|Pelorus/Regium Pr., Capo Peloro","-0750/0640","38.26816","15.6507","cape","VERIFIED","","","",""
"dcb03db0-b578-4f00-bf6a-9e29c38a204f","Dyonisius Periegetes.txt","Italy","char-offset:20950","PLACE","http://geo-kima.org/place/153","Modena (Italy)","","44.64582","10.92572","","VERIFIED","","","",""
"d8a90fb3-8435-4178-ac0b-75748c26d3c9","Dyonisius Periegetes.txt","Libya","char-offset:21150","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","VERIFIED","","","",""
"c3be16a1-316d-49a5-9852-507bb05bb880","Dyonisius Periegetes.txt","Syrtis","char-offset:21174","PLACE","http://pleiades.stoa.org/places/344491","Syrtis Maior","","31.5","18.0","water-open","VERIFIED","","","",""
"9d5a8bfc-1763-45c6-9068-e4539c131220","Dyonisius Periegetes.txt","Meninx","char-offset:21275","PLACE","http://pleiades.stoa.org/places/344440","Meninx/Lotophagitis/Girba Ins.|Girba?|Girba?, Houmt-Souk|Meninx Ins./Lotophagitis Ins./Girba Ins., Djerba","-0330/0640","33.874783","10.859558","island,settlement","VERIFIED","","","",""
"595d18df-8b72-4769-923c-9b1436999adb","Dyonisius Periegetes.txt","Kerkinna","char-offset:21286","PLACE","http://pleiades.stoa.org/places/324690","Cercina (island)|Cercina Ins., Grand Kerkenna","-0330/0640","34.7865653","11.2342661","island","VERIFIED","","","",""
"323f7000-4fab-4994-b2f0-84817a5344ee","Dyonisius Periegetes.txt","Adriatic","char-offset:21329","PLACE","http://geo-kima.org/place/1577","Adriatic Coast (Italy)","","","","","VERIFIED","","","",""
"6634fcb1-7e80-4228-bb11-49ee5b4ddd41","Dyonisius Periegetes.txt","Iapygian","char-offset:21383","PLACE","http://pleiades.stoa.org/places/442502","Basta|Basta, Vaste, Poggiardo","-0330/2100","40.047756","18.388132","settlement","VERIFIED","","","",""
"c6f17328-4e53-40c6-b90d-b423f18c75cd","Dyonisius Periegetes.txt","Aigialeia","char-offset:21576","PLACE","http://pleiades.stoa.org/places/570668","Sicyon/Demetrias|Sicyon, Vasiliko","-0750/0300","37.98336","22.71135","settlement","VERIFIED","","","",""
"3b3358ba-7a28-4338-9e80-ffe27ca15132","Dyonisius Periegetes.txt","Apsyrtus","char-offset:21655","PLACE","http://pleiades.stoa.org/places/857032","Apsaros/Apsyrtos|Apsaros/Apsyrtos, Gonio","-0330/0640","41.573247","41.573661","settlement","VERIFIED","","","",""
"89b63489-11bd-4688-bcb3-6b3da3e8c4cf","Dyonisius Periegetes.txt","Colchians","char-offset:21687","PLACE","http://pleiades.stoa.org/places/863770","Colchis/Lazike","-0750/0640","42.5","42.5","region","VERIFIED","","","",""
"50f7ebb2-608f-4ba5-9fbe-6f102541b1d4","Dyonisius Periegetes.txt","Ceraunian","char-offset:21810","PLACE","http://pleiades.stoa.org/places/481785","Ceraunii M.|Ceraunii M., Ceraunian Mountains","","40.198056","19.638889","mountain","VERIFIED","","","",""
"b91e616d-6637-41a9-a86b-e84493881ec6","Dyonisius Periegetes.txt","Ambracian islands","char-offset:21855","PLACE","http://pleiades.stoa.org/places/530794","Ambracia|Ambracus|Ambracus, Ambracus|Ambrakia/Ambracia, Arta","-0750/0300","39.04107","20.95316","settlement","VERIFIED","","","",""
"b1cabbc8-3628-4755-9d28-b49ebd5c1265","Dyonisius Periegetes.txt","Corcyra","char-offset:21891","PLACE","http://pleiades.stoa.org/places/530834","Corcyra|Korkyra/Kerkyra/Corcyra, Kerkyra/Corfu","-0750/2100","39.60733","19.92178","settlement","VERIFIED","","","",""
"10f4b03c-ab56-4af5-bb06-ae988ff863f4","Dyonisius Periegetes.txt","Chalcis","char-offset:22011","PLACE","http://pleiades.stoa.org/places/540703","Chalcis|Chalcis/Chalkis, Chalcis/Chalkida","-0750/0640","38.464","23.602","settlement","VERIFIED","","","",""
"80a90b85-448b-42d5-af64-1506a5ff6852","Dyonisius Periegetes.txt","Achelous","char-offset:22024","PLACE","http://pleiades.stoa.org/places/530768","Achelous (river)","-0750/0640","38.3388321","21.1067111","river","VERIFIED","","","",""
"99621350-890b-48c6-917e-3f9141b429e4","Dyonisius Periegetes.txt","Amnisos","char-offset:22074","PLACE","http://pleiades.stoa.org/places/589682","Amnisos (river)","-0750/0300","35.25","25.25","river","VERIFIED","","","",""
"edde5d24-9ab2-4cfb-8a12-99e1448f6541","Dyonisius Periegetes.txt","Cythera","char-offset:22104","PLACE","http://pleiades.stoa.org/places/570400","Kythera|Cythera Ins.|Cythera Ins., Kythira|Kythera, Kythera","-0750/0300","36.26229","22.97822","island,settlement","VERIFIED","","","",""
