"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"f69154f2-bb2d-4941-a413-b8c1185c6011","Arriano.txt","Jenofonte","char-offset:12549","PERSON","","","","","","","","","","",""
"e1138f3d-ddc1-4f10-8e94-9db3d2284e8d","Arriano.txt","coljos","char-offset:12584","PLACE","http://pleiades.stoa.org/places/863770","Colchis/Lazike","-0750/0640","42.5","42.5","region","VERIFIED","","","",""
"f758348f-0f11-47c2-8f21-ddf7d8621eb2","Arriano.txt","drilas","char-offset:12703","PLACE","http://pleiades.stoa.org/places/857113","Drilai","-0550/0640","40.5","39.5","people","VERIFIED","","","",""
"e994bbca-6be0-4240-9c25-2c13f68db652","Arriano.txt","zudreitas","char-offset:13251","PLACE","http://pleiades.stoa.org/places/857387","Zydreitai","-0330/0300","41.5","41.5","people","VERIFIED","","","",""
"00ba9245-79ba-4b87-8cbd-667335459d41","Arriano.txt","apsilas","char-offset:13395","PLACE","http://pleiades.stoa.org/places/857034","Apsilia","-0330/0640","43.5","41.5","people","VERIFIED","","","",""
"59e6f8e3-6e84-4ea5-8e3a-fe15f20d6d4f","Arriano.txt","apsilas","char-offset:13492","PLACE","http://pleiades.stoa.org/places/857034","Apsilia","-0330/0640","43.5","41.5","people","VERIFIED","","","",""
"0de4c748-534c-4a02-842f-cc888d32a831","Arriano.txt","abascos","char-offset:13508","PLACE","http://pleiades.stoa.org/places/857007","Abaskos? (river)","-0330/0640","43.3745973989867","40.0854074105408","river","VERIFIED","","","",""
"79d5a971-3c7e-4909-97f4-092e05e42e0b","Arriano.txt","abascos","char-offset:13534","PLACE","http://pleiades.stoa.org/places/857007","Abaskos? (river)","-0330/0640","43.3745973989867","40.0854074105408","river","VERIFIED","","","",""
"fbd40620-5c3d-43d5-8bab-d2e7ac7035d2","Arriano.txt","abascos","char-offset:13600","PLACE","http://pleiades.stoa.org/places/857007","Abaskos? (river)","-0330/0640","43.3745973989867","40.0854074105408","river","VERIFIED","","","",""
"633bbfa0-c32d-4017-81ba-e0abdec0779a","Arriano.txt","sanigas","char-offset:13630","PLACE","http://pleiades.stoa.org/places/857302","Sanigai","-0330/0640","43.1780631622007","40.6141308145728","people","VERIFIED","","","",""
"a39a0cc7-8d2a-4c1c-85f1-95bab82eddf9","Arriano.txt","sanigas","char-offset:13691","PLACE","http://pleiades.stoa.org/places/857302","Sanigai","-0330/0640","43.1780631622007","40.6141308145728","people","VERIFIED","","","",""
"34fc33b1-588f-425b-bdbd-dc2f13839b2b","Arriano.txt","Apsaros","char-offset:13835","PLACE","http://pleiades.stoa.org/places/857032","Apsaros/Apsyrtos|Apsaros/Apsyrtos, Gonio","-0330/0640","41.573247","41.573661","settlement","VERIFIED","","","",""
"1317240a-6d16-41c5-baa1-dbb9d319edd7","Arriano.txt","Jobos","char-offset:13980","PLACE","http://pleiades.stoa.org/places/857092","Chorsos/Chobos (river)|Chorsos fl./Chobos fl., Enguri river","-0550/0640","42.41593","41.64585","river","VERIFIED","","","",""
"9b28ec9d-707c-421d-889e-912a0f8844fe","Arriano.txt","Sigames","char-offset:14008","PLACE","http://pleiades.stoa.org/places/857318","Sigames/Sicanabis (river)","-0030/0640","42.5","41.5","river","VERIFIED","","","",""
"ba93f37b-1854-490f-9665-27e57b90096c","Arriano.txt","Astelefos","char-offset:14127","PLACE","http://pleiades.stoa.org/places/857049","Astelephos/Euripos (river)|Astelephosfl./Euripos fl., Skurcha","-0030/0640","42.81645","41.17202","river","VERIFIED","","","",""
"2ffdb3c3-431d-4667-ae73-7c293bb5de5a","Arriano.txt","Astelefos","char-offset:14292","PLACE","http://pleiades.stoa.org/places/857049","Astelephos/Euripos (river)|Astelephosfl./Euripos fl., Skurcha","-0030/0640","42.81645","41.17202","river","VERIFIED","","","",""
"b2d5e7c1-5265-4720-bd3d-18230bc4343e","Arriano.txt","Cáucaso","char-offset:14343","PLACE","http://pleiades.stoa.org/places/863766","Caucasus (mountain range)|Caucasus Mons, Caucasus Mountains","-0030/0300","43.3525468","42.4378759","mountain","VERIFIED","","","",""
"40319cb3-6365-4760-82a5-0b60d77830e1","Arriano.txt","Strobilos","char-offset:14439","PLACE","http://pleiades.stoa.org/places/857336","Strobilos? M.|Strobilos? Mons, Azikhva","-0330/0300","43.2215705","41.152269","mountain","VERIFIED","","","",""
"7b7de5bc-2b0f-47a0-aa2d-192959fdbdd3","Arriano.txt","Bósforo Tracio","char-offset:14587","PLACE","http://pleiades.stoa.org/places/520977","Bosphorus","-0550/0640","41.119444","29.075278","water-open","VERIFIED","","","",""
"77b5ff40-76d8-49d6-b088-d2057a8c8322","Arriano.txt","Trapezunte","char-offset:14637","PLACE","http://pleiades.stoa.org/places/857359","Trapezus|Trapezous/Trapezus, Trabzon","-3200/2000","41.005877","39.728451","settlement","VERIFIED","","","",""
"86c6c923-d83d-429b-a452-2ce6c7ae853c","Arriano.txt","Bizantio","char-offset:14696","PLACE","http://pleiades.stoa.org/places/521034","Hieron (Byzantion)|Hieron (Byzantion), Rumelikavağı","-0330/0300","41.1812426","29.0735977","temple","VERIFIED","","","",""
"58be2ca1-4f8d-48d1-8280-3cb02bdc4862","Arriano.txt","Propóntide","char-offset:14815","PLACE","http://pleiades.stoa.org/places/511381","Propontis","-0550/2100","40.6666672","28.2499999","water-open","VERIFIED","","","",""
"a528a960-07a7-414c-b596-84ea42a93578","Arriano.txt","Rebas","char-offset:14909","PLACE","http://pleiades.stoa.org/places/521134","Rhebas|Rhebas, Rıva","-0330/0640","41.22441","29.220059","settlement","VERIFIED","","","",""
"bd1b5642-5b66-41ea-9964-b50c08b2a3e5","Arriano.txt","Artanes","char-offset:15049","PLACE","http://pleiades.stoa.org/places/511162","Artanes (river)","-0330/0300","41.25","29.75","river","VERIFIED","","","",""
"66da37f3-1f27-48aa-a745-5985ba07ec52","Arriano.txt","Artanes","char-offset:15166","PLACE","http://pleiades.stoa.org/places/511162","Artanes (river)","-0330/0300","41.25","29.75","river","VERIFIED","","","",""
